,Tiempos
368,109648.98009025153
369,109658.98009025153
370,110133.14985148942
371,110143.14985148942
372,110510.11313521011
373,110520.11313521011
374,110820.11313521011
375,110830.11313521011
376,111234.68209083121
377,111244.68209083121
378,111587.98124674095
379,111597.98124674095
380,112021.87809306072
381,112031.87809306072
382,112433.2008431746
383,112443.2008431746
384,112896.17833765685
385,112906.17833765685
386,113344.47136417819
387,113354.47136417819
388,113913.93701073441
389,113923.93701073441
390,114451.02348942323
391,114461.02348942323
392,115106.28137641541
393,115116.28137641541
394,115529.15996144275
395,115539.15996144275
396,116036.11903144077
397,116046.11903144077
398,116479.02527844488
399,116489.02527844488
400,117010.46138062168
401,117020.46138062168
402,117485.84440719424
403,117495.84440719424
404,118042.67825290306
405,118052.67825290306
406,118580.80553268816
407,118590.80553268816
408,118974.35778395164
409,118984.35778395164
410,119613.05616073858
411,119623.05616073858
412,120188.49781960231
413,120198.49781960231
414,120731.25601244696
415,121394.14983037114
416,121404.14983037114
417,122104.14983037114
418,122114.14983037114
419,122652.67851236163
420,122662.67851236163
421,123183.49366702697
422,123193.49366702697
423,123715.22665297316
424,123725.22665297316
425,124237.47864396045
426,124247.47864396045
427,124885.1271788386
428,124895.1271788386
429,125417.10424112048
430,125427.10424112048
431,125970.57770139685
432,125980.57770139685
433,126537.03233228739
434,126547.03233228739
435,127134.64253318832
436,127144.64253318832
437,127749.2421942694
438,127759.2421942694
439,128327.24536248628
440,128337.24536248628
441,128990.20338758109
442,129000.20338758109
443,129639.84034561751
444,129649.84034561751
445,130299.99349015007
446,130309.99349015007
447,130981.8106225132
448,130991.8106225132
449,131639.43648463162
450,131649.43648463162
451,132177.68582145288
452,132187.68582145288
453,132725.42626573902
454,132735.42626573902
455,133344.54561371543
456,133354.54561371543
457,134005.31455263865
458,134015.31455263865
459,134624.71741019556
460,134634.71741019556
461,135193.2922061093
462,135203.2922061093
463,135698.02770653227
464,135708.02770653227
465,136402.27470525564
466,136412.27470525564
467,137101.67760851933
468,137111.67760851933
469,137723.24393984018
470,137733.24393984018
471,138320.9580626988
472,138330.9580626988
